TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
f_f000492,2305150003,3,0,,건초먹이주기,N,1,1
f_f000492,2305160002,3,0,,수영,Y,1,2
f_f000492,2305170003,3,0,,레일바이크 탑승,N,1,1
f_f000492,2305150002,3,1,,루지,N,1,1
f_f000492,2305180001,3,2,,레고랜드입장및놀이기구탑승,Y,1,1
f_f000492,2305150002,3,4,,VR체험,N,1,1
f_f000492,2305150003,4,1,,,,,
f_f000492,2305150002,4,2,,,,,
f_f000492,2305160001,5,0,,,,,
f_f000492,2305150004,5,2,,,,,
f_f000492,2305170001,5,2,,,,,
f_f000492,2305150002,5,3,,,,,
f_f000492,2305170005,7,1,,,,,
f_f000493,2305190004,1,0,,옹심이;감자전,N,1,
f_f000493,2305200003,1,0,,옹심이 감자전,N,1,
f_f000493,2305200004,1,0,,내부 카페에서 요거트;커피,N,1,
f_f000493,2305200007,1,0,,양념고기,Y,1,
f_f000493,2305200001,2,0,,맥주 커피,N,1,
f_f000493,2305190002,2,1,,김밥;떡볶이;튀김;우동,N,1,
f_f000493,2305190003,2,1,,커피;주유,N,1,
f_f000493,2305190002,2,2,,음료수 막걸리 과자,N,1,
f_f000493,2305190003,3,0,,안전체험,N,1,1
f_f000493,2305190005,3,0,,케이블카;4d체험,N,5,1
f_f000493,2305200002,3,0,,유리공예체험,N,1,1
f_f000493,2305210002,3,0,,레일바이크,Y,1,1
f_f000493,2305210003,3,0,,박물관 관람,N,1,2
f_f000493,2305200004,3,1,,유리 블로잉체험,Y,5,1
f_f000493,2305200006,3,1,,창의놀이터에서 놀이,N,5,1
f_f000493,2305210002,3,1,,스위치백트레인,N,1,1
f_f000493,2305200005,4,0,,,,,
f_f000493,2305200006,4,2,,,,,
f_f000493,2305190002,5,0,,,,,
f_f000516,2305200002,1,0,,햄버거,N,1,
f_f000516,2305200003,1,0,,행버거,N,4,
f_f000516,2305200004,1,0,,커피,N,1,
f_f000516,2305200006,1,0,,조개구이,N,1,
f_f000516,2305200008,1,1,,맥주,N,1,
f_f000516,2305190004,2,0,,광어;우럭;도다리 활어회,N,1,
f_f000516,2305200001,2,2,,생활용품,N,1,
f_f000516,2305200001,3,0,,물고기 먹이주기,Y,1,1
f_f000516,2305190003,4,0,,,,,
f_f000516,2305200007,4,0,,,,,
f_f000516,2305190002,5,0,,,,,
f_f000516,2305190005,5,0,,,,,
f_f000516,2305200005,5,0,,,,,
f_f000516,2305200009,5,0,,,,,
f_f000516,2305200003,5,1,,,,,
f_f000530,2305190002,1,0,,소떡소떡.통감자구이 나눠먹었다,N,4,
f_f000530,2305200001,1,0,,짬뽕.짜장면.탕수육.순두부짬뽕,N,4,
f_f000530,2305200003,1,0,,마늘쫑크림치즈소금빵.크룽지.바닐라라떼.아이스아메리카노.엘더플라워민트티에이드.피스타치오크림라떼,Y,4,
f_f000530,2305200004,1,2,,아이스크림호떡,N,4,
f_f000530,2305190003,2,0,,중앙닭강정,N,5,
f_f000530,2305200002,4,0,,,,,
f_f000530,2305190004,5,0,,,,,
f_f000530,2305190005,5,0,,,,,
f_f000532,2306020003,1,0,,우동2개;해물순두부1개,N,1,
f_f000532,2306020007,1,0,,다찌큰상,N,1,
f_f000532,2306020009,1,0,,조식,N,1,
f_f000532,2306030003,1,0,,생선구이정식3개;멸치쌈밥 3개 (친구일행을 만나 같이 식사),N,1,
f_f000532,2306040001,2,0,,회. 초밥;소불고기;돈육불고기;멍개;수박;쌀과자 (방문한 곳의 부모님과 함께 식사),N,1,
f_f000532,2306020005,3,0,,통영시립박문관에서 담당자(문화재청)를 만나 프로그램(이순신을 찾아서) 상세 설명을 듣고 박물관 관람 후 케이블카를 타고 전망을 즐겼음,N,5,2
f_f000532,2306020006,3,0,,충무김밥을 먹고;미소꿀빵을 사서 여객선을 타고 한산도로 가서 제승당을 둘러 보았음,N,1,2
f_f000532,2306020008,3,0,,통영 디피랑 체험 및 관람,N,5,1
f_f000532,2306030001,3,0,,통영 충렬사 탐방,N,5,2
f_f000532,2306030002,3,0,,삼도수군통제영을 탐방후 나전칠기와 수군군사 훈련 체험,Y,5,1
f_f000532,2306020009,5,1,,,,,
f_f000532,2306020004,6,0,,입안 궤양 치료,N,1,
f_f000538,2306030002,1,0,,통감자;식혜;호두과자,N,1,
f_f000538,2306030004,1,0,,돼지고기볶음;된장찌게,Y,1,
f_f000538,2306030009,1,0,,치킨,N,1,
f_f000538,2306030010,1,0,,물회,N,1,
f_f000538,2306040004,1,0,,생선구이;소머리국밥,N,1,
f_f000538,2306050002,1,0,,커피;에이드;아이스초코,N,1,
f_f000538,2306050003,1,0,,갈비;막국수;육게장,N,1,
f_f000538,2306030006,1,1,,쥐포,Y,1,
f_f000538,2306040003,3,0,,레일바이크,N,1,1
f_f000538,2306030005,4,0,,,,,
f_f000538,2306030006,4,0,,,,,
f_f000538,2306040001,4,0,,,,,
f_f000538,2306040005,4,1,,,,,
f_f000538,2306030003,5,0,,,,,
f_f000538,2306030011,5,0,,,,,
f_f000538,2306040006,5,0,,,,,
f_f000538,2306050004,5,0,,,,,
f_f000538,2306030007,6,0,,체크인,Y,5,
f_f000538,2306040002,6,0,,바다수영,N,5,
f_f000538,2306050001,6,1,,물놀이,N,1,
f_f000538,2306030008,6,2,,조개잡이,N,5,
f_f000538,2306050001,6,2,,식사,N,1,
f_f000543,2305160007,1,0,,초옥이오트밀,Y,1,
f_f000543,2305160009,1,0,,원조짬순(짬뽕순두부),N,1,
f_f000543,2305160010,1,0,,순두부젤라또,N,1,
f_f000543,2305170001,1,0,,초당두부크림치즈베이글;꿀;아이스아메리카노,N,1,
f_f000543,2305170002,1,0,,함흥냉면(비빔냉면),N,1,
f_f000543,2305170013,1,0,,오징어물회,N,1,
f_f000543,2305170014,1,0,,히비스커스티,N,1,
f_f000543,2305180002,1,0,,우동(조식으로 나오는),Y,4,
f_f000543,2305180004,1,0,,흑임자커피(아이스),Y,1,
f_f000543,2305180006,1,0,,쫄면순두부,N,1,
f_f000543,2305180007,1,0,,찹쌀붕어빵,N,1,
f_f000543,2305180009,1,0,,시칠리아 레몬 그라니따,N,1,
f_f000543,2305180010,1,0,,고등어구이;나베,N,1,
f_f000543,2305160006,1,1,,장칼국수,N,1,
f_f000543,2305160006,2,0,,손수건,N,1,
f_f000543,2305170003,2,0,,인테리어 소품 아이쇼핑 및 두부푸딩 구입,N,1,
f_f000543,2305170007,2,0,,책 구입,N,1,
f_f000543,2305170008,2,0,,미니노트;풍경 스티커;바다사진 테이프,N,1,
f_f000543,2305170009,2,0,,껌;제로펩시,N,1,
f_f000543,2305170015,2,0,,맥주;젤리;사탕,N,1,
f_f000543,2305180011,2,0,,묵호역 락커 짐 찾음,N,1,
f_f000543,2305160009,2,1,,오는 길에 편의점 방문해서 물 구입,N,1,
f_f000543,2305170002,2,1,,오어즈 포스터;엽서,N,1,
f_f000543,2305170006,2,1,,묵호역 사물함 짐 보관,N,1,
f_f000543,2305180008,2,2,,아이스 커피,N,1,
f_f000543,2305160007,2,6,,카페 방문 전 쏘카(렌트카) 대여,Y,5,
f_f000543,2305170012,4,0,,,,,
f_f000543,2305180008,4,0,,,,,
f_f000543,2305160008,4,1,,,,,
f_f000543,2305180001,4,1,,,,,
f_f000543,2305180007,4,2,,,,,
f_f000543,2305160008,5,0,,,,,
